Id,Label,timeset,touch,frequency,duration,loc_home,loc_work,loc_school,loc_kindergarden,loc_transport,loc_leisure,loc_grandparents,loc_other,loc_missing,betweenhhmembers,weight,person1,person2,household,sourcerole,targetrole,relation,modularity_class
22,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,11973000001,11973000003,119730,father,child,F-C,1
23,,,0,1,5,1,0,0,0,0,0,0,0,0,1,0.5,2006212000003,2006212000002,20062120,child,child,siblings,0
24,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2005895100002,2005895100001,20058951,child,father,F-C,1
25,,,1,1,2,1,0,0,0,0,0,0,0,0,1,0.7,2008415000002,2008415000004,20084150,child,child,siblings,1
26,,,1,1,5,1,0,0,0,1,0,0,0,0,1,1,2007301700002,2007301700001,20073017,child,mother,M-C,1
27,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,4172139,417213900001,4172139,father,child,F-C,1
28,,,0,1,2,1,0,0,0,0,0,0,0,0,1,0.2,965486900005,965486900002,9654869,child,child,siblings,1
29,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,31875200003,318752,318752,child,mother,M-C,1
30,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20056042,2005604200001,20056042,mother,father,M-F,1
31,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,20086527,2008652700001,20086527,father,mother,M-F,1
32,,,0,1,5,1,0,0,0,0,0,0,0,0,1,0.5,2003330600001,2003330600002,20033306,child,child,siblings,0
33,,,1,1,5,1,0,1,0,1,0,0,0,0,1,1,2006490200004,20064902,20064902,child,father,F-C,1
34,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,72354300001,72354300003,723543,mother,child,M-C,1
35,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,1000276000002,1000276000001,10002760,child,mother,M-C,1
36,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005854300005,2005854300004,20058543,child,child,siblings,1
37,,,1,1,5,1,0,0,0,1,1,0,0,0,1,1,20071795,2007179500003,20071795,father,child,F-C,1
38,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2008926300002,2008926300003,20089263,child,child,siblings,1
39,,,1,1,5,1,0,0,0,1,0,1,1,0,1,1,2005979200003,2005979200001,20059792,child,mother,M-C,0
40,,,1,1,5,0,0,0,0,0,0,0,1,0,1,1,2007111800003,20071118,20071118,child,mother,M-C,0
41,,,1,1,5,1,0,0,0,1,1,0,0,0,1,1,2003361400001,2003361400003,20033614,mother,child,M-C,1
42,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2006376900001,20063769,20063769,mother,father,M-F,1
43,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005643500002,2005643500001,20056435,child,father,F-C,1
44,,,1,1,5,0,0,0,0,0,0,0,1,0,1,1,756602200001,756602200003,7566022,mother,child,M-C,0
45,,,1,1,4,1,0,0,0,0,0,0,0,0,1,0.9,2009245800001,20092458,20092458,mother,father,M-F,1
46,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2005604200002,2005604200001,20056042,child,father,F-C,1
47,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,225566900001,2255669,2255669,mother,father,M-F,1
48,,,1,1,5,1,0,0,0,0,0,0,0,0,1,1,405795100001,405795100002,4057951,father,child,F-C,1
